onset	duration	event_type
722	0	start
751	0	final_contact_left
834	0	initial_contact_left
861	0	final_contact_right
941	0	initial_contact_right
966	0	final_contact_left
1050	0	initial_contact_left
1075	0	final_contact_right
1152	0	initial_contact_right
1178	0	final_contact_left
1259	0	initial_contact_left
1287	0	final_contact_right
1363	0	initial_contact_right
1392	0	final_contact_left
1470	0	initial_contact_left
1500	0	final_contact_right
1580	0	initial_contact_right
1612	0	final_contact_left
1613	0	stop
1684	0	initial_contact_left
1730	0	final_contact_right
