name	component	type	tracked_point	units	sampling_frequency
m_ster1_POS_z	z	POS	m_ster1	mm	200
m_ster1_POS_err	n/a	POS	m_ster1	mm	200
m_ster2_POS_x	x	POS	m_ster2	mm	200
m_ster2_POS_y	y	POS	m_ster2	mm	200
m_ster2_POS_z	z	POS	m_ster2	mm	200
m_ster2_POS_err	n/a	POS	m_ster2	mm	200
m_ster3_POS_x	x	POS	m_ster3	mm	200
m_ster3_POS_y	y	POS	m_ster3	mm	200
m_ster3_POS_z	z	POS	m_ster3	mm	200
m_ster3_POS_err	n/a	POS	m_ster3	mm	200
l_sho_POS_x	x	POS	l_sho	mm	200
l_sho_POS_y	y	POS	l_sho	mm	200
l_sho_POS_z	z	POS	l_sho	mm	200
l_sho_POS_err	n/a	POS	l_sho	mm	200
l_ua_POS_x	x	POS	l_ua	mm	200
l_ua_POS_y	y	POS	l_ua	mm	200
l_ua_POS_z	z	POS	l_ua	mm	200
l_ua_POS_err	n/a	POS	l_ua	mm	200
l_elbl_POS_x	x	POS	l_elbl	mm	200
l_elbl_POS_y	y	POS	l_elbl	mm	200
l_elbl_POS_z	z	POS	l_elbl	mm	200
l_elbl_POS_err	n/a	POS	l_elbl	mm	200
l_frm_POS_x	x	POS	l_frm	mm	200
l_frm_POS_y	y	POS	l_frm	mm	200
l_frm_POS_z	z	POS	l_frm	mm	200
l_frm_POS_err	n/a	POS	l_frm	mm	200
l_wrr_POS_x	x	POS	l_wrr	mm	200
l_wrr_POS_y	y	POS	l_wrr	mm	200
l_wrr_POS_z	z	POS	l_wrr	mm	200
l_wrr_POS_err	n/a	POS	l_wrr	mm	200
l_wru_POS_x	x	POS	l_wru	mm	200
l_wru_POS_y	y	POS	l_wru	mm	200
l_wru_POS_z	z	POS	l_wru	mm	200
l_wru_POS_err	n/a	POS	l_wru	mm	200
l_hand_POS_x	x	POS	l_hand	mm	200
l_hand_POS_y	y	POS	l_hand	mm	200
l_hand_POS_z	z	POS	l_hand	mm	200
l_hand_POS_err	n/a	POS	l_hand	mm	200
r_sho_POS_x	x	POS	r_sho	mm	200
r_sho_POS_y	y	POS	r_sho	mm	200
r_sho_POS_z	z	POS	r_sho	mm	200
r_sho_POS_err	n/a	POS	r_sho	mm	200
r_ua_POS_x	x	POS	r_ua	mm	200
r_ua_POS_y	y	POS	r_ua	mm	200
r_ua_POS_z	z	POS	r_ua	mm	200
r_ua_POS_err	n/a	POS	r_ua	mm	200
r_elbl_POS_x	x	POS	r_elbl	mm	200
r_elbl_POS_y	y	POS	r_elbl	mm	200
r_elbl_POS_z	z	POS	r_elbl	mm	200
r_elbl_POS_err	n/a	POS	r_elbl	mm	200
r_frm_POS_x	x	POS	r_frm	mm	200
r_frm_POS_y	y	POS	r_frm	mm	200
r_frm_POS_z	z	POS	r_frm	mm	200
r_frm_POS_err	n/a	POS	r_frm	mm	200
r_wrr_POS_x	x	POS	r_wrr	mm	200
r_wrr_POS_y	y	POS	r_wrr	mm	200
r_wrr_POS_z	z	POS	r_wrr	mm	200
r_wrr_POS_err	n/a	POS	r_wrr	mm	200
r_wru_POS_x	x	POS	r_wru	mm	200
r_wru_POS_y	y	POS	r_wru	mm	200
r_wru_POS_z	z	POS	r_wru	mm	200
r_wru_POS_err	n/a	POS	r_wru	mm	200
r_hand_POS_x	x	POS	r_hand	mm	200
r_hand_POS_y	y	POS	r_hand	mm	200
r_hand_POS_z	z	POS	r_hand	mm	200
r_hand_POS_err	n/a	POS	r_hand	mm	200
lf_hd_POS_x	x	POS	lf_hd	mm	200
lf_hd_POS_y	y	POS	lf_hd	mm	200
lf_hd_POS_z	z	POS	lf_hd	mm	200
lf_hd_POS_err	n/a	POS	lf_hd	mm	200
rf_hd_POS_x	x	POS	rf_hd	mm	200
rf_hd_POS_y	y	POS	rf_hd	mm	200
rf_hd_POS_z	z	POS	rf_hd	mm	200
rf_hd_POS_err	n/a	POS	rf_hd	mm	200
lb_hd_POS_x	x	POS	lb_hd	mm	200
lb_hd_POS_y	y	POS	lb_hd	mm	200
lb_hd_POS_z	z	POS	lb_hd	mm	200
